action,id,display_name,canonical_name,muscle,equipment,archetype,cameron_sets,cameron_workouts,last_used,proposed_canonical,notes
hide,seed-Downward_Facing_Balance,,downward facing balance,glutes,exercise ball,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Drag_Curl,,drag curl,biceps,barbell,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Drop_Push,,drop push,chest,other,push_up,0,0,,,niche/unused category
hide,seed-Dumbbell_Alternate_Bicep_Curl,,dumbbell alternate bicep curl,biceps,dumbbell,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Bench_Press,,dumbbell bench press,chest,dumbbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Bench_Press_with_Neutral_Grip,,dumbbell bench press with neutral grip,chest,dumbbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Bicep_Curl,,dumbbell bicep curl,biceps,dumbbell,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Clean,,dumbbell clean,hamstrings,dumbbell,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Floor_Press,,dumbbell floor press,triceps,dumbbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Flyes,,dumbbell flyes,chest,dumbbell,chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Incline_Row,,dumbbell incline row,middle back,dumbbell,single_arm_row,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Incline_Shoulder_Raise,,dumbbell incline shoulder raise,shoulders,dumbbell,y_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Lunges,,dumbbell lunges,quadriceps,dumbbell,lunge,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,,dumbbell lying one-arm rear lateral raise,shoulders,dumbbell,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Lying_Pronation,,dumbbell lying pronation,forearms,dumbbell,wrist_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Dumbbell_Lying_Rear_Lateral_Raise,,dumbbell lying rear lateral raise,shoulders,dumbbell,rear_delt_fly,0,0,,,unused by Cameron and not a staple
